gene	family	description
CYP2D7P1	CYP	"cytochrome P450, family 2, subfamily D, polypeptide 7 pseudogene 1"
CYP2D7P2	CYP	"cytochrome P450, family 2, subfamily D, polypeptide 7 pseudogene 2"
CYP2D8P1	CYP	"cytochrome P450, family 2, subfamily D, polypeptide 8 pseudogene 1"
CYP2D8P2	CYP	"cytochrome P450, family 2, subfamily D, polypeptide 8 pseudogene 2"
CYP2E1	CYP	"cytochrome P450, family 2, subfamily E, polypeptide 1"
CYP2F1	CYP	"cytochrome P450, family 2, subfamily F, polypeptide 1"
CYP2F1P	CYP	"cytochrome P450, family 2, subfamily F, polypeptide 1 pseudogene"
CYP2G1P	CYP	"cytochrome P450, family 2, subfamily G, polypeptide 1 pseudogene"
CYP2G2P	CYP	"cytochrome P450, family 2, subfamily G, polypeptide 2 pseudogene"
CYP2J2	CYP	"cytochrome P450, family 2, subfamily J, polypeptide 2"
CYP2R1	CYP	"cytochrome P450, family 2, subfamily R, polypeptide 1"
CYP2S1	CYP	"cytochrome P450, family 2, subfamily S, polypeptide 1"
CYP2T2P	CYP	"cytochrome P450, family 2, subfamily T, polypeptide 2 pseudogene"
CYP2T3P	CYP	"cytochrome P450, family 2, subfamily T, polypeptide 3 pseudogene"
CYP2U1	CYP	"cytochrome P450, family 2, subfamily U, polypeptide 1"
CYP2W1	CYP	"cytochrome P450, family 2, subfamily W, polypeptide 1"
CYP3A	CYP	"cytochrome P450, family 3, subfamily A"
CYP3A4	CYP	"cytochrome P450, family 3, subfamily A, polypeptide 4"
CYP3A5	CYP	"cytochrome P450, family 3, subfamily A, polypeptide 5"
CYP3A5P1	CYP	"cytochrome P450, family 3, subfamily A, polypeptide 5 pseudogene 1"
CYP3A5P2	CYP	"cytochrome P450, family 3, subfamily A, polypeptide 5 pseudogene 2"
CYP3A7	CYP	"cytochrome P450, family 3, subfamily A, polypeptide 7"
CYP3A43	CYP	"cytochrome P450, family 3, subfamily A, polypeptide 43"
CYP4A11	CYP	"cytochrome P450, family 4, subfamily A, polypeptide 11"
CYP4A22	CYP	"cytochrome P450, family 4, subfamily A, polypeptide 22"
CYP4B1	CYP	"cytochrome P450, family 4, subfamily B, polypeptide 1"
CYP4F2	CYP	"cytochrome P450, family 4, subfamily F, polypeptide 2"
CYP4F3	CYP	"cytochrome P450, family 4, subfamily F, polypeptide 3"
CYP4F3LP	CYP	"cytochrome P450, family 4, subfamily F, polypeptide 3-like pseudogene"
CYP4F8	CYP	"cytochrome P450, family 4, subfamily F, polypeptide 8"
CYP4F11	CYP	"cytochrome P450, family 4, subfamily F, polypeptide 11"
CYP4F12	CYP	"cytochrome P450, family 4, subfamily F, polypeptide 12"
CYP4V2	CYP	"cytochrome P450, family 4, subfamily V, polypeptide 2"
CYP4X1	CYP	"cytochrome P450, family 4, subfamily X, polypeptide 1"
CYP4Z1	CYP	"cytochrome P450, family 4, subfamily Z, polypeptide 1"
CYP7A1	CYP	"cytochrome P450, family 7, subfamily A, polypeptide 1"
CYP7B1	CYP	"cytochrome P450, family 7, subfamily B, polypeptide 1"
CYP8B1	CYP	"cytochrome P450, family 8, subfamily B, polypeptide 1"
CYP11A1	CYP	"cytochrome P450, family 11, subfamily A, polypeptide 1"
CYP11B1	CYP	"cytochrome P450, family 11, subfamily B, polypeptide 1"
CYP11B2	CYP	"cytochrome P450, family 11, subfamily B, polypeptide 2"
CYP17A1	CYP	"cytochrome P450, family 17, subfamily A, polypeptide 1"
CYP19A1	CYP	"cytochrome P450, family 19, subfamily A, polypeptide 1"
CYP20A1	CYP	"cytochrome P450, family 20, subfamily A, polypeptide 1"
CYP21A1P	CYP	"cytochrome P450, family 21, subfamily A, polypeptide 1 pseudogene"
CYP21A2	CYP	"cytochrome P450, family 21, subfamily A, polypeptide 2"
CYP24A1	CYP	"cytochrome P450, family 24, subfamily A, polypeptide 1"
CYP26A1	CYP	"cytochrome P450, family 26, subfamily A, polypeptide 1"
CYP26B1	CYP	"cytochrome P450, family 26, subfamily B, polypeptide 1"
CYP26C1	CYP	"cytochrome P450, family 26, subfamily C, polypeptide 1"
CYP27A1	CYP	"cytochrome P450, family 27, subfamily A, polypeptide 1"
CYP27B1	CYP	"cytochrome P450, family 27, subfamily B, polypeptide 1"
CYP39A1	CYP	"cytochrome P450, family 39, subfamily A, polypeptide 1"
CYP46A1	CYP	"cytochrome P450, family 46, subfamily A, polypeptide 1"
CYP51A1	CYP	"cytochrome P450, family 51, subfamily A, polypeptide 1"
DDX1	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1
DDX3X	DDX	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked"
DDX3Y	DDX	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked"
DDX4	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4
DDX5	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5
DDX6	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6
DDX6P	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6 pseudogene
DDX10	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
DDX11	DDX	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)"
DDX11P	DDX	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 pseudogene
DDX12	DDX	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 12 (CHL1-like helicase homolog, S. cerevisiae)"
DDX17	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
DDX18	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
DDX18P1	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene 1
DDX19A	DDX	DEAD (Asp-Glu-Ala-As) box polypeptide 19A
DDX19B	DDX	DEAD (Asp-Glu-Ala-As) box polypeptide 19B
DDX20	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20
DDX21	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
DDX23	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23
DDX24	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
DDX25	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25
DDX26B	DDX	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B
DDX27	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27
DDX28	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
DDX31	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
DDX39	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
DDX41	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
DDX42	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42
DDX43	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43
DDX46	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46
DDX47	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47
DDX48	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48
DDX49	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49
DDX50	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50
DDX51	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
DDX52	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52
DDX53	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 53
DDX54	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
DDX55	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55
DDX56	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56
DDX58	DDX	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
INTS6	DDX	integrator complex subunit 6
DEFB1	DEFB	"defensin, beta 1"
DEFB4	DEFB	"defensin, beta 4"
DEFB4P	DEFB	"defensin, beta 4, pseudogene"
DEFB103A	DEFB	"defensin, beta 103A"
DEFB103B	DEFB	"defensin, beta 103B"
DEFB104A	DEFB	"defensin, beta 104A"
DEFB104B	DEFB	"defensin, beta 104B"
DEFB105A	DEFB	"defensin, beta 105A"
DEFB105B	DEFB	"defensin, beta 105B"
DEFB106A	DEFB	"defensin, beta 106A"
DEFB106B	DEFB	"defensin, beta 106B"
DEFB107A	DEFB	"defensin, beta 107A"
DEFB107B	DEFB	"defensin, beta 107B"
DEFB108B	DEFB	"defensin, beta 108B"
DEFB108P1	DEFB	"defensin, beta 108, pseudogene 1"
DEFB108P2	DEFB	"defensin, beta 108, pseudogene 2"
DEFB108P3	DEFB	"defensin, beta 108, pseudogene 3"
DEFB108P4	DEFB	"defensin, beta 108, pseudogene 4"
DEFB109P1	DEFB	"defensin, beta 109, pseudogene 1"
DEFB109P2	DEFB	"defensin, beta 109, pseudogene 2"
DEFB109P3	DEFB	"defensin, beta 109, pseudogene 3"
DEFB110	DEFB	"defensin, beta 110"
DEFB111	DEFB	"defensin, beta 111"
DEFB112	DEFB	"defensin, beta 112"
DEFB113	DEFB	"defensin, beta 113"
DEFB114	DEFB	"defensin, beta 114"
DEFB115	DEFB	"defensin, beta 115"
DEFB116	DEFB	"defensin, beta 116"
DEFB117	DEFB	"defensin, beta 117"
DEFB118	DEFB	"defensin, beta 118"
DEFB119	DEFB	"defensin, beta 119"
DEFB121	DEFB	"defensin, beta 121"
DEFB122	DEFB	"defensin, beta 122"
DEFB123	DEFB	"defensin, beta 123"
DEFB124	DEFB	"defensin, beta 124"
DEFB125	DEFB	"defensin, beta 125"
DEFB126	DEFB	"defensin, beta 126"
DEFB127	DEFB	"defensin, beta 127"
DEFB128	DEFB	"defensin, beta 128"
DEFB129	DEFB	"defensin, beta 129"
DEFB130	DEFB	"defensin, beta 130"
DEFB131	DEFB	"defensin, beta 131"
DEFB132P	DEFB	"defensin, beta 132, pseudogene"
DEFB133	DEFB	"defensin, beta 133"
DHX8	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 8
DHX9	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 9
DHX9P	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 9 pseudogene
DHX15	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 15
DHX16	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 16
DHX29	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 29
DHX30	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 30
DHX32	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 32
DHX33	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 33
DHX34	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 34
DHX35	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 35
DHX36	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 36
DHX37	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 37
DHX38	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 38
DHX40	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 40
DHX40P	DHX	DEAH (Asp-Glu-Ala-His) box polypeptide 40 pseudogene
DHX57	DHX	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57
DNAH1	DN	"dynein, axonemal, heavy chain 1"
DNAH2	DN	"dynein, axonemal, heavy chain 2"
DNAH3	DN	"dynein, axonemal, heavy chain 3"
DNAH5	DN	"dynein, axonemal, heavy chain 5"
DNAH6	DN	"dynein, axonemal, heavy chain 6"
DNAH7	DN	"dynein, axonemal, heavy chain 7"
DNAH8	DN	"dynein, axonemal, heavy chain 8"
DNAH9	DN	"dynein, axonemal, heavy chain 9"
DNAH10	DN	"dynein, axonemal, heavy chain 10"
DNAH11	DN	"dynein, axonemal, heavy chain 11"
DNAH12	DN	"dynein, axonemal, heavy chain 12"
DNAH13	DN	"dynein, axonemal, heavy chain 13"
DNAH14	DN	"dynein, axonemal, heavy chain 14"
DNAH17	DN	"dynein, axonemal, heavy chain 17"
DNAHL1	DN	"dynein, axonemal, heavy chain like 1"
DNAI1	DN	"dynein, axonemal, intermediate chain 1"
DNAI2	DN	"dynein, axonemal, intermediate chain 2"
DNAL4	DN	"dynein, axonemal, light chain 4"
DNALI1	DN	"dynein, axonemal, light intermediate chain 1"
DYNC1H1	DYN	"dynein, cytoplasmic 1, heavy chain 1"
DYNC1I1	DYN	"dynein, cytoplasmic 1, intermediate chain 1"
DYNC1I2	DYN	"dynein, cytoplasmic 1, intermediate chain 2"
DYNC1LI1	DYN	"dynein, cytoplasmic 1, light intermediate chain 1"
DYNC1LI2	DYN	"dynein, cytoplasmic 1, light intermediate chain 2"
DYNC2H1	DYN	"dynein, cytoplasmic 2, heavy chain 1"
DYNC2LI1	DYN	"dynein, cytoplasmic 2, light intermediate chain 1"
DYNLL1	DYN	"dynein, light chain, LC8-type 1"
DYNLL1P1	DYN	"dynein, light chain, LC8-type 1 pseudogene 1"
DYNLL1P2	DYN	"dynein, light chain, LC8-type 1 pseudogene 2"
DYNLL2	DYN	"dynein, light chain, LC8-type 2"
DYNLRB1	DYN	"dynein, light chain, roadblock-type 1"
DYNLRB2	DYN	"dynein, light chain, roadblock-type 2"
DYNLT1	DYN	"dynein, light chain, Tctex-type 1"
DYNLT3	DYN	"dynein, light chain, Tctex-type 3"
EMID1	EMID	EMI domain containing 1
EMID2	EMID	EMI domain containing 2
EMILIN1	EMID	elastin microfibril interfacer 1
EMILIN2	EMID	elastin microfibril interfacer 2
EMILIN3	EMID	elastin microfibril interfacer 3
MMRN1	EMID	multimerin 1
MMRN2	EMID	multimerin 2
FZD1	FZD	frizzled homolog 1 (Drosophila)
FZD2	FZD	frizzled homolog 2 (Drosophila)
FZD3	FZD	frizzled homolog 3 (Drosophila)
FZD4	FZD	frizzled homolog 4 (Drosophila)
FZD5	FZD	frizzled homolog 5 (Drosophila)
FZD6	FZD	frizzled homolog 6 (Drosophila)
FZD7	FZD	frizzled homolog 7 (Drosophila)
FZD8	FZD	frizzled homolog 8 (Drosophila)
FZD9	FZD	frizzled homolog 9 (Drosophila)
FZD10	FZD	frizzled homolog 10 (Drosophila)
EMR3	GPR	"egf-like module containing, mucin-like, hormone receptor-like 3"
EMR4	GPR	"egf-like module containing, mucin-like, hormone receptor-like 4"
FFAR1	GPR	free fatty acid receptor 1
FFAR2	GPR	free fatty acid receptor 2
FFAR3	GPR	free fatty acid receptor 3
GABBR2	GPR	"gamma-aminobutyric acid (GABA) B receptor, 2"
GPR1	GPR	G protein-coupled receptor 1
GPR3	GPR	G protein-coupled receptor 3
GPR4	GPR	G protein-coupled receptor 4
GPR6	GPR	G protein-coupled receptor 6
GPR12	GPR	G protein-coupled receptor 12
GPR15	GPR	G protein-coupled receptor 15
GPR17	GPR	G protein-coupled receptor 17
GPR18	GPR	G protein-coupled receptor 18
GPR19	GPR	G protein-coupled receptor 19
GPR20	GPR	G protein-coupled receptor 20
GPR21	GPR	G protein-coupled receptor 21
GPR22	GPR	G protein-coupled receptor 22
GPR23	GPR	G protein-coupled receptor 23
GPR25	GPR	G protein-coupled receptor 25
GPR26	GPR	G protein-coupled receptor 26
GPR27	GPR	G protein-coupled receptor 27
GPR30	GPR	G protein-coupled receptor 30
GPR31	GPR	G protein-coupled receptor 31
GPR32	GPR	G protein-coupled receptor 32
GPR32P	GPR	"G protein-coupled receptor 32, pseudogene"
GPR33	GPR	G protein-coupled receptor 33
GPR34	GPR	G protein-coupled receptor 34
GPR34P	GPR	G protein-coupled receptor 34 pseudogene
GPR35	GPR	G protein-coupled receptor 35
GPR36	GPR	G protein-coupled receptor 36
GPR37	GPR	G protein-coupled receptor 37 (endothelin receptor type B-like)
GPR37L1	GPR	G protein-coupled receptor 37 like 1
GPR39	GPR	G protein-coupled receptor 39
GPR42	GPR	G protein-coupled receptor 42
GPR45	GPR	G protein-coupled receptor 45
GPR50	GPR	G protein-coupled receptor 50
GPR52	GPR	G protein-coupled receptor 52
GPR53P	GPR	"G protein-coupled receptor 53, pseudogene"
GPR55	GPR	G protein-coupled receptor 55
GPR56	GPR	G protein-coupled receptor 56
GPR61	GPR	G protein-coupled receptor 61
GPR62	GPR	G protein-coupled receptor 62
GPR63	GPR	G protein-coupled receptor 63
GPR64	GPR	G protein-coupled receptor 64
GPR65	GPR	G protein-coupled receptor 65
GPR68	GPR	G protein-coupled receptor 68
GPR75	GPR	G protein-coupled receptor 75
GPR77	GPR	G protein-coupled receptor 77
GPR78	GPR	G protein-coupled receptor 78
GPR79	GPR	G protein-coupled receptor 79 pseudogene
GPR81	GPR	G protein-coupled receptor 81
GPR82	GPR	G protein-coupled receptor 82
GPR83	GPR	G protein-coupled receptor 83
GPR84	GPR	G protein-coupled receptor 84
GPR85	GPR	G protein-coupled receptor 85
GPR87	GPR	G protein-coupled receptor 87
GPR88	GPR	G protein-coupled receptor 88
GPR89A	GPR	G protein-coupled receptor 89A
GPR89P	GPR	G protein-coupled receptor 89 pseudogene
GPR90	GPR	G protein-coupled receptor 90
GPR92	GPR	G protein-coupled receptor 92
GPR97	GPR	G protein-coupled receptor 97
GPR101	GPR	G protein-coupled receptor 101
GPR103	GPR	G protein-coupled receptor 103
GPR107	GPR	G protein-coupled receptor 107
GPR108	GPR	G protein-coupled receptor 108
GPR109A	GPR	G protein-coupled receptor 109A
GPR109B	GPR	G protein-coupled receptor 109B
GPR110	GPR	G protein-coupled receptor 110
GPR111	GPR	G protein-coupled receptor 111
GPR112	GPR	G protein-coupled receptor 112
GPR113	GPR	G protein-coupled receptor 113
GPR114	GPR	G protein-coupled receptor 114
GPR115	GPR	G protein-coupled receptor 115
GPR116	GPR	G protein-coupled receptor 116
GPR119	GPR	G protein-coupled receptor 119
GPR120	GPR	G protein-coupled receptor 120
GPR123	GPR	G protein-coupled receptor 123
GPR124	GPR	G protein-coupled receptor 124
GPR125	GPR	G protein-coupled receptor 125
GPR126	GPR	G protein-coupled receptor 126
GPR128	GPR	G protein-coupled receptor 128
GPR132	GPR	G protein-coupled receptor 132
GPR133	GPR	G protein-coupled receptor 133
GPR135	GPR	G protein-coupled receptor 135
GPR139	GPR	G protein-coupled receptor 139
GPR141	GPR	G protein-coupled receptor 141
GPR142	GPR	G protein-coupled receptor 142
GPR143	GPR	G protein-coupled receptor 143
GPR143P	GPR	G protein-coupled receptor 143 pseudogene
GPR144	GPR	G protein-coupled receptor 144
GPR146	GPR	G protein-coupled receptor 146
GPR148	GPR	G protein-coupled receptor 148
GPR149	GPR	G protein-coupled receptor 149
GPR150	GPR	G protein-coupled receptor 150
GPR151	GPR	G protein-coupled receptor 151
GPR152	GPR	G protein-coupled receptor 152
GPR153	GPR	G protein-coupled receptor 153
GPR155	GPR	G protein-coupled receptor 155
GPR156	GPR	G protein-coupled receptor 156
GPR157	GPR	G protein-coupled receptor 157
GPR158	GPR	G protein-coupled receptor 158
GPR160	GPR	G protein-coupled receptor 160
GPR161	GPR	G protein-coupled receptor 161
GPR162	GPR	G protein-coupled receptor 162
GPR165P	GPR	G protein-coupled receptor 165 pseudogene
GPR166P	GPR	G protein-coupled receptor 166 pseudogene
GPR171	GPR	G protein-coupled receptor 171
GPR172A	GPR	G protein-coupled receptor 172A
GPR172B	GPR	G protein-coupled receptor 172B
GPR173	GPR	G protein-coupled receptor 173
GPR178	GPR	G protein-coupled receptor 178
GPR179	GPR	G protein-coupled receptor 179
GPRC5B	GPR	"G protein-coupled receptor, family C, group 5, member B"
GPRC5C	GPR	"G protein-coupled receptor, family C, group 5, member C"
GPRC5D	GPR	"G protein-coupled receptor, family C, group 5, member D"
GPRC6A	GPR	"G protein-coupled receptor, family C, group 6, member A"
KISS1R	GPR	KISS1 receptor
LGR4	GPR	leucine-rich repeat-containing G protein-coupled receptor 4
LGR5	GPR	leucine-rich repeat-containing G protein-coupled receptor 5
MCHR1	GPR	melanin-concentrating hormone receptor 1
MCHR2	GPR	melanin-concentrating hormone receptor 2
MFSD7	GPR	major facilitator superfamily domain containing 7
MLNR	GPR	motilin receptor
MRGPRX1	GPR	"MAS-related GPR, member X1"
MRGPRX2	GPR	"MAS-related GPR, member X2"
NMUR1	GPR	neuromedin U receptor 1
NPBWR1	GPR	neuropeptides B/W receptor 1
NPBWR2	GPR	neuropeptides B/W receptor 2
NPFFR1	GPR	neuropeptide FF receptor 1
NPFFR2	GPR	neuropeptide FF receptor 2
NPSR1	GPR	neuropeptide S receptor 1
OXGR1	GPR	oxoglutarate (alpha-ketoglutarate) receptor 1
P2RY10P1	GPR	"purinergic receptor P2Y, G-protein coupled, 10 pseudogene 1"
P2RY13	GPR	"purinergic receptor P2Y, G-protein coupled, 13"
P2RY14	GPR	"purinergic receptor P2Y, G-protein coupled, 14"
PRLHR	GPR	prolactin releasing hormone receptor
PROKR1	GPR	prokineticin receptor 1
PROKR2	GPR	prokineticin receptor 2
RXFP4	GPR	relaxin/insulin-like family peptide receptor 4
SUCNR1	GPR	succinate receptor 1
UTS2R	GPR	urotensin 2 receptor
CCR10	"GPR, CCR"	chemokine (C-C motif) receptor 10
CXCR3	"GPR, CD"	chemokine (C-X-C motif) receptor 3
GPR44	"GPR, CD"	G protein-coupled receptor 44
TAAR1	"GPR, TAAR"	trace amine associated receptor 1
TAAR2	"GPR, TAAR"	trace amine associated receptor 2
TAAR3	"GPR, TAAR"	trace amine associated receptor 3
TAAR4P	"GPR, TAAR"	trace amine associated receptor 4 pseudogene
TAAR5	"GPR, TAAR"	trace amine associated receptor 5
TAAR6	"GPR, TAAR"	trace amine associated receptor 6
TAAR7P	"GPR, TAAR"	trace amine associated receptor 7 pseudogene
TAAR8	"GPR, TAAR"	trace amine associated receptor 8
TAAR9	"GPR, TAAR"	trace amine associated receptor 9
HLA-16	HLA	HLA-16 pseudogene
HLA-21	HLA	HLA-21 pseudogene
HLA-75	HLA	HLA-75 pseudogene
HLA-80	HLA	HLA-80 pseudogene
HLA-90	HLA	HLA-90 pseudogene
HLA-A	HLA	"major histocompatibility complex, class I, A"
HLA-B	HLA	"major histocompatibility complex, class I, B"
HLA-C	HLA	"major histocompatibility complex, class I, C"
HLA-DMA	HLA	"major histocompatibility complex, class II, DM alpha"
HLA-DMB	HLA	"major histocompatibility complex, class II, DM beta"
HLA-DOA	HLA	"major histocompatibility complex, class II, DO alpha"
HLA-DOB	HLA	"major histocompatibility complex, class II, DO beta"
HLA-DPA1	HLA	"major histocompatibility complex, class II, DP alpha 1"
HLA-DPA2	HLA	"major histocompatibility complex, class II, DP alpha 2 (pseudogene)"
HLA-DPA3	HLA	"major histocompatibility complex, class II, DP alpha 3 (pseudogene)"
HLA-DPB1	HLA	"major histocompatibility complex, class II, DP beta 1"
HLA-DPB2	HLA	"major histocompatibility complex, class II, DP beta 2 (pseudogene)"
HLA-DQA1	HLA	"major histocompatibility complex, class II, DQ alpha 1"
HLA-DQA2	HLA	"major histocompatibility complex, class II, DQ alpha 2"
HLA-DQB1	HLA	"major histocompatibility complex, class II, DQ beta 1"
HLA-DQB2	HLA	"major histocompatibility complex, class II, DQ beta 2"
HLA-DQB3	HLA	"major histocompatibility complex, class II, DQ beta 3"
HLA-DRA	HLA	"major histocompatibility complex, class II, DR alpha"
HLA-DRB1	HLA	"major histocompatibility complex, class II, DR beta 1"
HLA-DRB2	HLA	"major histocompatibility complex, class II, DR beta 2"
HLA-DRB3	HLA	"major histocompatibility complex, class II, DR beta 3"
HLA-DRB4	HLA	"major histocompatibility complex, class II, DR beta 4"
HLA-DRB5	HLA	"major histocompatibility complex, class II, DR beta 5"
HLA-DRB6	HLA	"major histocompatibility complex, class II, DR beta 6 (pseudogene)"
HLA-DRB7	HLA	"major histocompatibility complex, class II, DR beta 7 (pseudogene)"
HLA-DRB8	HLA	"major histocompatibility complex, class II, DR beta 8 (pseudogene)"
HLA-DRB9	HLA	"major histocompatibility complex, class II, DR beta 9 (pseudogene)"
HLA-E	HLA	"major histocompatibility complex, class I, E"
HLA-F	HLA	"major histocompatibility complex, class I, F"
HLA-G	HLA	"HLA-G histocompatibility antigen, class I, G"
HLA-H	HLA	"major histocompatibility complex, class I, H (pseudogene)"
HLA-J	HLA	"major histocompatibility complex, class I, J (pseudogene)"
HLA-K	HLA	"major histocompatibility complex, class I, K"
HLA-L	HLA	"major histocompatibility complex, class I, L"
HLA-N	HLA	"major histocompatibility complex, class I, N (pseudogene)"
HLA-S	HLA	"major histocompatibility complex, class I, S (pseudogene)"
HLA-X	HLA	"major histocompatibility complex, class I, X (pseudogene)"
HLA-Z	HLA	"major histocompatibility complex, class I, Z (pseudogene)"
IFN1@	IFN	"interferon, type 1, cluster"
IFNA1	IFN	"interferon, alpha 1"
IFNA2	IFN	"interferon, alpha 2"
IFNA4	IFN	"interferon, alpha 4"
IFNA5	IFN	"interferon, alpha 5"
IFNA6	IFN	"interferon, alpha 6"
IFNA7	IFN	"interferon, alpha 7"
IFNA8	IFN	"interferon, alpha 8"
IFNA10	IFN	"interferon, alpha 10"
IFNA13	IFN	"interferon, alpha 13"
IFNA14	IFN	"interferon, alpha 14"
IFNA16	IFN	"interferon, alpha 16"
IFNA17	IFN	"interferon, alpha 17"
IFNA21	IFN	"interferon, alpha 21"
IFNAP22	IFN	"interferon, alpha pseudogene 22"
IFNAR1	IFN	"interferon (alpha, beta and omega) receptor 1"
IFNAR2	IFN	"interferon (alpha, beta and omega) receptor 2"
IFNB1	IFN	"interferon, beta 1, fibroblast"
IFNB3	IFN	"interferon, beta 3, fibroblast"
IFNG	IFN	"interferon, gamma"
IFNGR2	IFN	interferon gamma receptor 2 (interferon gamma transducer 1)
IFNK	IFN	"interferon, kappa"
IFNNP1	IFN	"interferon, nu 1 (pseudogene)"
IFNP11	IFN	interferon pseudogene 11
IFNP12	IFN	interferon pseudogene 12
IFNP20	IFN	interferon pseudogene 20
IFNP23	IFN	interferon pseudogene 23
IFNP24	IFN	interferon pseudogene 24
IFNR	IFN	interferon production regulator
IFNW1	IFN	"interferon, omega 1"
IFNWP2	IFN	"interferon, omega 2 (pseudogene)"
IFNWP4	IFN	"interferon, omega 4 (pseudogene)"
IFNWP5	IFN	"interferon, omega 5 (pseudogene)"
IFNWP9	IFN	"interferon, omega 9 (pseudogene)"
IFNWP15	IFN	"interferon, omega 15 (pseudogene)"
IFNWP18	IFN	"interferon, omega 18 (pseudogene)"
IFNWP19	IFN	"interferon, omega 19 (pseudogene)"
IFNGR1	"IFN, CD"	interferon gamma receptor 1
IFT20	IFT	intraflagellar transport 20 homolog (Chlamydomonas)
IFT52	IFT	intraflagellar transport 52 homolog (Chlamydomonas)
IFT57	IFT	intraflagellar transport 57 homolog (Chlamydomonas)
IFT74	IFT	intraflagellar transport 74 homolog (Chlamydomonas)
IFT80	IFT	intraflagellar transport 80 homolog (Chlamydomonas)
IFT81	IFT	intraflagellar transport 81 homolog (Chlamydomonas)
IFT88	IFT	intraflagellar transport 88 homolog (Chlamydomonas)
IFT122	IFT	intraflagellar transport 122 homolog (Chlamydomonas)
IFT140	IFT	intraflagellar transport 140 homolog (Chlamydomonas)
IFT172	IFT	intraflagellar transport 172 homolog (Chlamydomonas)
IGAD1	IG	immunoglobulin A (IgA) deficiency susceptibility 1
IGES	IG	"immunoglobulin E concentration, serum"
IGH@	IG	immunoglobulin heavy locus
IGHA1	IG	immunoglobulin heavy constant alpha 1
IGHA2	IG	immunoglobulin heavy constant alpha 2 (A2m marker)
IGHD	IG	immunoglobulin heavy constant delta
IGHD1-1	IG	immunoglobulin heavy diversity 1-1
IGHD1-7	IG	immunoglobulin heavy diversity 1-7
IGHD1-14	IG	immunoglobulin heavy diversity 1-14
IGHD1-20	IG	immunoglobulin heavy diversity 1-20
